Seagull,Bird,20,Large,White,Adaptable,No,Low,Moderate
Snowy Owl,Bird,10,Large,White,Mysterious,No,Low,Difficult
Sparrow,Bird,3,Small,Brown,Social,Yes,Low,Moderate
Starlings,Bird,20,Medium,Black,Social,Yes,Low,Moderate
Swallow,Bird,6,Small,Blue,Graceful,Yes,Low,Moderate
Turkey,Bird,10,Large,Brown,Curious,No,Low,Difficult
Vulture,Bird,20,Large,Black and White,Majestic,No,Low,Difficult
Woodpecker,Bird,15,Medium,Red,Alert,Yes,Low,Moderate
Breed,Animal Type,Average Lifespan (years),Size Category,Common Color,Temperament,Suitable for Apartment,Grooming Needs,Trainability
Arabian Horse,Horse,25,Medium,Gray,Intelligent,No,Medium,Easy
Thoroughbred,Horse,30,Large,Bay,Strong,No,Medium,Moderate
Clydesdale,Horse,20,Large,Chestnut,Gentle,No,High,Moderate
Quarter Horse,Horse,25,Medium,Bay,Calm,No,Low,Easy
Standardbred,Horse,25,Medium,Chestnut,Calm,No,Medium,Easy
Saddlebred,Horse,25,Medium,Chestnut,Friendly,No,Medium,Moderate
Tennessee Walking Horse,Horse,30,Medium,Black,Friendly,No,Medium,Easy
Belgian,Horse,20,Large,Chestnut,Calm,No,High,Moderate
Andalusian,Horse,25,Medium,Gray,Energetic,No,Medium,Moderate
Mustang,Horse,20,Medium,Various,Wild,No,Low,Difficult
Appaloosa,Horse,25,Medium,Spotted,Calm,No,Low,Easy
Friesian,Horse,20,Large,Black,Majestic,No,High,Moderate
Hanoverian,Horse,20,Large,Chestnut,Trainable,No,Medium,Moderate
Paint Horse,Horse,25,Medium,Spotted,Friendly,No,Low,Easy
Percheron,Horse,25,Large,Gray,Gentle,No,High,Moderate
Morgan Horse,Horse,30,Medium,Bay,Smart,No,Medium,Easy
Shire,Horse,25,Large,Chestnut,Calm,No,High,Moderate
Paso Fino,Horse,25,Medium,Gray,Graceful,No,Low,Easy
Draft Horse,Horse,30,Large,Various,Strong,No,High,Moderate
Warmblood,Horse,25,Large,Various,Trainable,No,Medium,Moderate
Hackney Horse,Horse,20,Medium,Chestnut,Alert,No,Medium,Moderate
Irish Draught,Horse,20,Medium,Chestnut,Calm,No,Medium,Moderate
Lippizaner,Horse,30,Medium,Gray,Energetic,No,High,Moderate
Norwegian Fjord,Horse,25,Medium,Gray,Calm,No,Medium,Moderate
Miniature Horse,Horse,25,Small,Various,Friendly,Yes,Low,Easy
Shetland Pony,Horse,20,Small,Black,Affectionate,Yes,Low,Easy
Exmoor Pony,Horse,20,Small,Brown,Calm,Yes,Low,Moderate
Connemara Pony,Horse,25,Small,Gray,Agile,Yes,Low,Easy
Rheinlander,Horse,20,Medium,Chestnut,Trainable,No,Medium,Moderate
Bashkir Curly,Horse,20,Medium,Curly,Calm,No,High,Moderate
Breed,Animal Type,Average Lifespan (years),Size Category,Common Color,Temperament,Suitable for Apartment,Grooming Needs,Trainability
Holstein,Cow,15,Large,Black and White,Friendly,No,Medium,Easy
Jersey,Cow,15,Medium,Brown,Docile,No,Low,Easy
Guernsey,Cow,15,Medium,Red and White,Calm,No,Medium,Moderate
Ayrshire,Cow,15,Medium,Red and White,Friendly,No,Medium,Moderate
Brown Swiss,Cow,18,Large,Brown,Calm,No,Medium,Moderate
Milking Shorthorn,Cow,15,Medium,Red,White, or Roan,Friendly,No,Medium,Moderate
Dexter,Cow,15,Small,Black,Red, or Dun,Calm,Yes,Low,Easy
Red Poll,Cow,15,Medium,Red or White,Calm,No,Low,Easy
British Friesian,Cow,15,Large,Black and White,Friendly,No,High,Moderate
Normande,Cow,15,Medium,Red and White,Docile,No,Medium,Moderate
Breed,Animal Type,Average Lifespan (years),Size Category,Common Color,Temperament,Suitable for Apartment,Grooming Needs,Trainability
Angus,Cow,15,Medium,Black,Friendly,No,Low,Easy
Hereford,Cow,15,Medium,Red and White,Calm,No,Low,Easy
Charolais,Cow,15,Large,White or Cream,Docile,No,Medium,Moderate
Simmental,Cow,15,Large,Gold and White,Docile,No,Medium,Moderate
Limousin,Cow,15,Medium,Gold to Red,Friendly,No,Medium,Moderate
Shorthorn (Beef),Cow,15,Medium,Red,White, or Roan,Friendly,No,Medium,Moderate
Brahman,Cow,20,Large,Gray or Red,Calm,No,Medium,Moderate
Devon,Cow,15,Medium,Red,Friendly,No,Low,Moderate
Wagyu,Cow,20,Medium,Black,Docile,No,Medium,Moderate
Salers,Cow,15,Medium,Red,Docile,No,Medium,Moderate
Breed,Animal Type,Average Lifespan (years),Size Category,Common Color,Temperament,Suitable for Apartment,Grooming Needs,Trainability
Zebu (Humped cattle),Cow,15,Medium,Gray or White,Calm,No,Low,Easy
Scottish Highland,Cow,20,Medium,Red,Black, or Yellow,Friendly,No,Low,Moderate
Belted Galloway,Cow,15,Medium,Black with White Belt,Docile,No,Medium,Moderate
Hereford (dual-purpose),Cow,15,Medium,Red and White,Calm,No,Low,Easy
Kerry (a rare breed),Cow,18,Small,Black,Friendly,No,Low,Moderate
Murray Grey,Cow,15,Medium,Gray,Friendly,No,Low,Moderate
Breed,Animal Type,Average Lifespan (years),Size Category,Common Color,Temperament,Suitable for Apartment,Grooming Needs,Trainability
Standard Rat,Small Animal,2,Small,Various,Friendly,Yes,Low,Easy
Dumbo Rat,Small Animal,2,Small,Various,Friendly,Yes,Low,Moderate
Top-Eared Rat,Small Animal,2,Small,Various,Friendly,Yes,Low,Easy
Hairless Rat,Small Animal,2,Small,Pink or Light,Friendly,Yes,High,Easy
Rex Rat,Small Animal,2,Small,Various,Friendly,Yes,Medium,Moderate
Manx Rat,Small Animal,2,Small,Various,Friendly,Yes,Low,Moderate
Siamese Rat,Small Animal,2,Small,Light body with darker points,Calm,Yes,Low,Moderate
Himalayan Rat,Small Animal,2,Small,Light body with dark points,Calm,Yes,Low,Moderate
Hooded Rat,Small Animal,2,Small,Dark body with lighter "hood",Friendly,Yes,Low,Easy
Berger Rat,Small Animal,2,Small,Dark body with "saddle" pattern,Friendly,Yes,Low,Easy
Fawn Rat,Small Animal,2,Small,Golden-brown,Friendly,Yes,Low,Moderate
Black Rat,Small Animal,2,Small,Black,Friendly,Yes,Low,Easy
Capped Rat,Small Animal,2,Small,Various,Friendly,Yes,Low,Easy
Breed,Animal Type,Average Lifespan (years),Size Category,Common Color,Temperament,Suitable for Apartment,Grooming Needs,Trainability
Himalayan Rabbit,Small Animal,5,Small,White with dark points (ears, nose, paws),Calm,Yes,Medium,Moderate
Mini Rex,Small Animal,6,Small,Various,Calm,Yes,Low,Easy
Netherland Dwarf,Small Animal,8,Small,Various,Friendly,Yes,Low,Easy
Holland Lop,Small Animal,7,Small,Various,AFFectionate,Yes,Medium,Moderate
English Angora,Small Animal,12,Small,Various,Gentle,Yes,High,Moderate
Mini Lop,Small Animal,8,Small,Various,Friendly,Yes,Medium,Moderate
French Lop,Small Animal,8,Large,Various,Gentle,No,Medium,Moderate
Flemish Giant,Small Animal,10,Large,Various,Docile,No,Low,Easy
Lionhead Rabbit,Small Animal,7,Small,Various,Affectionate,Yes,High,Moderate
English Spot,Small Animal,6,Medium,White with spots,Friendly,Yes,Medium,Easy
Breed,Animal Type,Average Lifespan (years),Size Category,Common Color,Temperament,Suitable for Apartment,Grooming Needs,Trainability
Betta Fish,Fish,3-5,Small,Various colors (Red, Blue, Yellow),Aggressive,Yes,Low,Low
Goldfish,Fish,10-15,Medium,Orange,Calm,Yes,Low,Low
Guppies,Fish,2-3,Small,Various colors (Yellow, Blue, Green),Friendly,Yes,Low,Easy
Neon Tetras,Fish,5,Small,Blue and Red,Peaceful,Yes,Low,Easy
Angelfish,Fish,10,Medium,Silver with black stripes,Peaceful,Yes,Medium,Moderate
Cichlids,Fish,5-10,Medium,Various colors,Varies (peaceful to aggressive),Yes,Low,Moderate
Zebra Danios,Fish,5,Small,Striped (Blue and Silver),Peaceful,Yes,Low,Easy
Molly Fish,Fish,3-5,Small,Black, White, or Silver,Peaceful,Yes,Low,Easy
Platies,Fish,3-5,Small,Various colors (Red, Blue, Yellow),Friendly,Yes,Low,Easy
Discus Fish,Fish,10,Medium,Various colors (Blue, Green, Red),Calm,Yes,High,Moderate
Breed,Animal Type,Average Lifespan (years),Size Category,Common Color,Temperament,Suitable for Apartment,Grooming Needs,Trainability
Clownfish,Fish,6-10,Small,Orange and White,Peaceful,Yes,Low,Easy
Tang Fish,Fish,10-15,Medium,Yellow, Blue, Peaceful,Yes,Medium,Moderate
Damselfish,Fish,5-10,Small,Blue,Yellow, Aggressive,Yes,Low,Moderate
Butterflyfish,Fish,10,Medium,Yellow and White,Peaceful,Yes,High,Moderate
Surgeonfish,Fish,10-15,Medium,Blue,Yellow, Peaceful,Yes,Medium,Moderate
Wrasses,Fish,5-7,Small,Various colors,Peaceful,Yes,Medium,Moderate
Gobies,Fish,5,Small,Various colors,Peaceful,Yes,Low,Moderate
Angelfish (Saltwater),Fish,10,Medium,Varies (Blue, Yellow, Red),Peaceful,Yes,High,Moderate
Triggerfish,Fish,10,Medium,Various colors (Blue, Yellow, Orange),Aggressive,Yes,Low,Moderate
Lionfish,Fish,10,Medium,Striped (Red, White),Aggressive,Yes,Low,Low
